Name,Agility,Reactions,total
M. Vano,51.0,56.0,162.0
M. Rieder,55.0,57.0,180.0
J. Hooper,69.0,45.0,197.0
Sun Bo,80.0,44.0,205.0
L. Hupfauf,68.0,63.0,207.0
Mollejo,72.0,57.0,203.0
V. Oliver,67.0,54.0,181.0
M. Kuchta,34.0,52.0,131.0
Cao Haiqing,66.0,60.0,195.0
A. Banasiak,70.0,51.0,176.0
Pedro Goulart,58.0,55.0,174.0
Song Long,58.0,52.0,178.0
J. Lahne,77.0,43.0,212.0
M. García,64.0,62.0,195.0
R. McKenzie,61.0,54.0,177.0
D. Franke,67.0,56.0,190.0
M. Cavalleri,60.0,57.0,186.0
A. Beyazıt,75.0,51.0,202.0
A. Grijalva,48.0,48.0,151.0
D. Klomp,58.0,48.0,170.0
J. Keatings,81.0,57.0,206.0
P. Di Nardo,68.0,56.0,182.0
A. Baroan,70.0,44.0,192.0
C. Lattanzio,53.0,55.0,168.0
M. Candlin,69.0,53.0,198.0
R. Menayese,45.0,44.0,141.0
J. Thompson,71.0,55.0,188.0
H. Smith,57.0,45.0,162.0
Liu Ruofan,71.0,56.0,199.0
D. Jajic,66.0,60.0,191.0
L. Fesser,47.0,47.0,156.0
J. Brown,66.0,50.0,188.0
M. Nilor,49.0,49.0,142.0
I. Mensah,62.0,46.0,191.0
V. Fernández,67.0,55.0,191.0
D. Richards,35.0,54.0,125.0
H. Castegren,41.0,53.0,157.0
I. Oda,43.0,50.0,154.0
L. Cacace,67.0,62.0,200.0
E. Veiga,60.0,59.0,183.0
R. Cornwall,49.0,50.0,147.0
J. Mbom,67.0,62.0,194.0
S. van Dijck,46.0,46.0,151.0
D. Gremsl,90.0,55.0,224.0
M. Bevan,65.0,56.0,191.0
S. Friede,64.0,52.0,181.0
A. Guiffrey,61.0,45.0,166.0
M. Sætra,35.0,52.0,133.0
H. Magnetti,60.0,55.0,175.0
S. Abraham,57.0,54.0,173.0
G. Buon,41.0,49.0,147.0
D. Morrissey,66.0,55.0,193.0
G. Akkan,40.0,57.0,161.0
L. Espinoza,72.0,47.0,182.0
J. Requena,73.0,41.0,182.0
C. Mbulu,47.0,49.0,158.0
G. Cuomo,38.0,54.0,126.0
A. Gürleyen,54.0,46.0,155.0
L. Jones,36.0,50.0,126.0
R. Gondoh,74.0,54.0,204.0
N. Hunziker,56.0,47.0,164.0
T. Reithmeir,48.0,46.0,150.0
L. Barreiro Martins,90.0,55.0,224.0
J. Clarke,48.0,50.0,148.0
Zheng Tao,58.0,64.0,177.0
M. Guehi,53.0,47.0,158.0
R. Prieto,65.0,45.0,180.0
I. Meite,56.0,54.0,173.0
A. Amade,75.0,56.0,200.0
L. Krüger,53.0,49.0,158.0
K. Balogiannis,63.0,53.0,186.0
F. Due,30.0,60.0,126.0
L. Saxton,25.0,53.0,112.0
C. James,58.0,50.0,176.0
M. Rafique,78.0,62.0,208.0
P. Cherrie,37.0,62.0,122.0
E. Stokes,72.0,49.0,190.0
S. Al Hamdan,65.0,49.0,184.0
C. Moya,64.0,54.0,186.0
A. Xhemajli,40.0,45.0,134.0
A. Buxton,56.0,56.0,166.0
M. Gillesphey,43.0,53.0,145.0
G. Banaziak,39.0,44.0,110.0
A. Singh,30.0,51.0,125.0
D. Sváček,33.0,51.0,114.0
D. Sauerland,77.0,54.0,200.0
G. Kelly,58.0,51.0,160.0
Y. Fujita,51.0,58.0,145.0
S. Duke-McKenna,81.0,55.0,208.0
D. Mosquera,33.0,54.0,127.0
K. Majić,66.0,51.0,182.0
A. Al Ghamdi,37.0,52.0,124.0
M. Real,67.0,52.0,192.0
F. Schwarzholz,67.0,49.0,181.0
A. Majrashi,70.0,53.0,187.0
E. Maceira,68.0,47.0,184.0
Pei Shuai,60.0,64.0,195.0
D. Nizic,38.0,57.0,131.0
F. Al Habib,34.0,48.0,100.0
J. Archer,53.0,45.0,167.0
Li Guang,73.0,61.0,199.0
E. Osadebe,79.0,46.0,208.0
Du Wenyang,67.0,53.0,186.0
B. Singh,63.0,55.0,188.0
E. Granat,81.0,50.0,206.0
V. Cordoba,51.0,56.0,174.0
L. Schelenz,68.0,47.0,180.0
A. Morley,72.0,52.0,192.0
M. Nikolić,70.0,55.0,187.0
J. Pestaña,41.0,56.0,154.0
E. Dick,32.0,52.0,134.0
B. Williams,61.0,64.0,175.0
J. Tilley,76.0,43.0,189.0
Liu Yingchen,70.0,60.0,201.0
C. Antwi,84.0,54.0,224.0
J. Albrecht,26.0,56.0,106.0
J. Sands,54.0,54.0,169.0
J. Muñoz,61.0,55.0,191.0
J. Hoekstra,37.0,39.0,101.0
K. Niemczycki,30.0,48.0,106.0
M. Al Subaie,68.0,54.0,196.0
Park Ji Min,25.0,56.0,114.0
H. Al Ghamdi,82.0,55.0,207.0
S. Ucar,73.0,54.0,191.0
N. Quindt,33.0,55.0,121.0
M. Kahrıman,51.0,59.0,174.0
S. Gubari,83.0,55.0,220.0
L. Mulaj,75.0,47.0,194.0
Z. Herivaux,66.0,59.0,188.0
G. McGregor,64.0,61.0,192.0
T. Campbell,72.0,52.0,195.0
K. Kesgin,83.0,60.0,207.0
M. Staniszewski,32.0,45.0,95.0
Y. Fortune,76.0,60.0,192.0
T. Cuello,73.0,59.0,205.0
Pedro Gonçalves,67.0,50.0,182.0
K. Ayong,53.0,52.0,160.0
L. Italiano,39.0,54.0,137.0
J. Powell,67.0,48.0,189.0
M. Urynowicz,63.0,52.0,174.0
E. Navarrete,74.0,58.0,210.0
T. Vassell,66.0,47.0,187.0
T. Cordner,51.0,51.0,155.0
G. Tryggvason,69.0,46.0,190.0
C. Higuera,35.0,58.0,120.0
M. Onuoha,75.0,45.0,197.0
A. Bacci,36.0,42.0,100.0
J. Hodek,76.0,52.0,189.0
Y. Letard,64.0,47.0,179.0
Han Xuan,37.0,43.0,129.0
R. Isomura,50.0,57.0,171.0
I. Lara,63.0,49.0,176.0
J. Jaime,37.0,49.0,101.0
F. Al Sagour,59.0,48.0,188.0
L. Hernández,60.0,60.0,175.0
N. da Silva,78.0,55.0,202.0
R. Hirosue,29.0,45.0,119.0
L. Croll,67.0,50.0,177.0
T. Baack,68.0,44.0,172.0
K. Bucker,30.0,60.0,120.0
M. Miljevic,59.0,60.0,176.0
M. Brink,75.0,54.0,193.0
A. Bakayoko,68.0,52.0,183.0
W. Tchuameni,54.0,51.0,159.0
D. İncedere,57.0,45.0,172.0
S. Kjellevold,27.0,47.0,101.0
J. Þorsteinsson,74.0,52.0,197.0
M. Worthington,62.0,54.0,178.0
J. Tratt,56.0,54.0,174.0
J. Kelly,68.0,52.0,191.0
L. Grill,40.0,53.0,129.0
D. Lyon,73.0,53.0,191.0
F. Pizzicanella,35.0,61.0,128.0
J. Pantemis,22.0,53.0,113.0
R. Wilmots,68.0,52.0,178.0
E. Boyle,66.0,41.0,181.0
M. Sprang,19.0,57.0,94.0
R. Acquah,64.0,61.0,199.0
M. Wada,67.0,55.0,200.0
A. Canessa,54.0,51.0,164.0
R. Cagnon,32.0,45.0,108.0
M. Roerslev,70.0,50.0,195.0
A. Azeez,76.0,57.0,222.0
M. Holzer,52.0,49.0,167.0
L. Travis,55.0,59.0,177.0
Mario Sánchez,57.0,54.0,182.0
Valery,60.0,54.0,183.0
R. Al Ghamdi,61.0,53.0,186.0
C. Gutiérrez,56.0,56.0,167.0
D. Webster,43.0,47.0,121.0
Kim Hyo Gi,62.0,55.0,180.0
J. Inamoto,50.0,47.0,148.0
J. McDonnell,26.0,50.0,103.0
W. Ali,76.0,54.0,200.0
A. Jakobsen,65.0,61.0,200.0
L. Bonilla,80.0,42.0,195.0
T. Duman,68.0,55.0,190.0
M. Woud,39.0,62.0,132.0
J. Löwe,81.0,48.0,194.0
B. Rivas,74.0,63.0,200.0
S. Cartwright,60.0,54.0,177.0
A. Ademoglu,56.0,54.0,169.0
Y. Oyanedel,69.0,52.0,194.0
Lim Eun Soo,59.0,56.0,176.0
R. van Doorn,43.0,46.0,154.0
J. Harris,68.0,56.0,190.0
José Uche,52.0,53.0,160.0
M. Arturia,50.0,55.0,165.0
K. Goba,48.0,47.0,149.0
E. Bansen,25.0,38.0,81.0
J. Lunney,78.0,50.0,196.0
M. Cooper,28.0,50.0,108.0
J. Orellana,42.0,51.0,154.0
B. Kavlak,52.0,51.0,163.0
G. Abregú,63.0,60.0,185.0
J. Doona,72.0,45.0,182.0
R. Blumberg,40.0,45.0,148.0
M. Panos,52.0,54.0,170.0
C. Coleman,54.0,63.0,177.0
M. O'Riley,60.0,59.0,178.0
A. Gafaiti,48.0,47.0,148.0
P. Edwards,66.0,60.0,177.0
G. Lapslie,63.0,58.0,188.0
M. Gonzalez,38.0,46.0,109.0
L. Ingolotti,39.0,50.0,122.0
G. Pozos,42.0,40.0,125.0
A. Aliev,46.0,51.0,151.0
M. Bauer,45.0,52.0,153.0
B. Sielewski,56.0,55.0,142.0
A. Talal,61.0,48.0,179.0
K. Schlotterbeck,54.0,49.0,155.0
G. Kilama,71.0,49.0,191.0
J. Debayo,65.0,55.0,185.0
B. Chapman,81.0,68.0,225.0
V. Gendrey,58.0,57.0,179.0
Li Shenglong,67.0,55.0,197.0
M. Schlegel,62.0,51.0,175.0
S. Quigley,49.0,45.0,146.0
Y. Bangsow,27.0,55.0,114.0
M. Leahy,33.0,51.0,126.0
S. Solli,67.0,51.0,197.0
M. Firlej,59.0,48.0,171.0
H. Bos,73.0,60.0,209.0
J. Bird,70.0,58.0,192.0
V. Arveladze,57.0,51.0,175.0
K. Kirihata,21.0,56.0,90.0
A. Penny,62.0,41.0,155.0
J. von Moos,75.0,51.0,192.0
G. Boylan,58.0,53.0,180.0
I. Chicco,43.0,47.0,120.0
H. Arslan,57.0,57.0,176.0
A. Nalic,63.0,50.0,189.0
D. Rodríguez,58.0,45.0,146.0
S. Karweina,75.0,57.0,201.0
Fabio,43.0,51.0,160.0
M. Harness,77.0,38.0,197.0
C. Rzonca,68.0,52.0,194.0
A. Manzur,51.0,53.0,166.0
S. Bone,43.0,44.0,139.0
T. Sopacua,59.0,53.0,179.0
H. Takimoto,22.0,54.0,92.0
Geng Xiaofeng,35.0,54.0,125.0
M. Soldo,25.0,56.0,129.0
K. Petratos,68.0,44.0,190.0
N. Giménez,60.0,52.0,176.0
Wang Xiaole,70.0,53.0,198.0
L. Schaffran,25.0,47.0,98.0
A. Fox,66.0,52.0,187.0
R. Cooney,64.0,55.0,186.0
N. Samayoa,40.0,48.0,146.0
A. Soukouna,71.0,52.0,201.0
I. Bolaño,75.0,57.0,209.0
K. Ogawa,60.0,52.0,189.0
K. Fegrouche,33.0,46.0,115.0
Lee Ho Seok,73.0,56.0,205.0
H. Balic,56.0,40.0,162.0
F. Lauenborg,70.0,58.0,187.0
K. Saka,53.0,58.0,175.0
K. Buckley,63.0,54.0,180.0
L. Scott,68.0,51.0,183.0
A. Torres,58.0,60.0,173.0
S. McMann,67.0,55.0,183.0
A. Rosteghin,29.0,50.0,99.0
A. Wheeler-Omiunu,72.0,55.0,194.0
N. Awuku,67.0,50.0,188.0
B. García,61.0,59.0,181.0
D. Riccardi,41.0,48.0,149.0
M. Meli,58.0,47.0,160.0
D. Petersson,41.0,64.0,155.0
E. Pauchet,27.0,41.0,102.0
S. Farelli,42.0,51.0,135.0
E. Gründemann,36.0,43.0,100.0
M. Ludwig,69.0,50.0,182.0
E. Pletinckx,41.0,49.0,148.0
A. Elyounoussi,80.0,46.0,208.0
M. Simakan,36.0,54.0,151.0
G. Kyrnats,32.0,57.0,137.0
S. Hiramatsu,53.0,57.0,166.0
N. Gómez,59.0,59.0,185.0
N. Ralph,81.0,57.0,211.0
J. Italiano,72.0,53.0,205.0
A. Ceesay,63.0,62.0,200.0
M. Awaji,36.0,49.0,127.0
N. Baeza,61.0,60.0,183.0
C. Ross,62.0,56.0,191.0
Yuan Mincheng,35.0,48.0,131.0
C. Baldovino,28.0,52.0,95.0
M. Rudakov,25.0,54.0,112.0
Han Rongze,32.0,53.0,124.0
J. Sbarra,67.0,54.0,186.0
F. Marín,61.0,64.0,192.0
J. Romero,70.0,64.0,208.0
R. Borkała,65.0,53.0,186.0
P. Magnon,57.0,45.0,166.0
Marcos Lavín,26.0,52.0,109.0
C. Quenum,47.0,65.0,192.0
Y. Akiyama,69.0,58.0,196.0
S. Parlati,72.0,55.0,199.0
A. Appiah,91.0,48.0,229.0
L. Klemenz,39.0,51.0,146.0
P. Tomczyk,69.0,47.0,208.0
A. Oteh,66.0,51.0,195.0
K. Hattanda,68.0,58.0,191.0
M. Bayo,61.0,57.0,191.0
H. Hyseni,45.0,48.0,146.0
N. D'Agostino,78.0,50.0,205.0
M. Jeahze,77.0,45.0,194.0
N. Gallardo,50.0,58.0,168.0
C. Trejo,58.0,55.0,175.0
S. High,58.0,57.0,176.0
L. Maniero,68.0,53.0,185.0
M. Obiero,58.0,61.0,179.0
C. Maycock,51.0,52.0,167.0
T. Attis,59.0,61.0,184.0
A. Tecpanécatl,63.0,43.0,181.0
M. Talbi,47.0,51.0,155.0
E. Herrera,67.0,52.0,194.0
J. Veyna,54.0,53.0,167.0
M. Reinthaler,51.0,59.0,162.0
R. Benz,29.0,54.0,111.0
R. Fitzsimons,38.0,60.0,132.0
L. Desmond,61.0,54.0,166.0
N. Strunck,71.0,61.0,205.0
H. Arellano,48.0,53.0,165.0
M. Sevimler,54.0,59.0,170.0
D. Becker,56.0,62.0,184.0
Kim Jung Ho,62.0,46.0,169.0
B. Barclay,51.0,42.0,139.0
H. Marcelin,31.0,44.0,127.0
M. Jørgensen,72.0,45.0,191.0
M. Beeney,33.0,53.0,108.0
R. Alm,67.0,41.0,189.0
A. Bakir,69.0,46.0,182.0
M. Bassouamina,59.0,54.0,187.0
S. Bose,58.0,64.0,186.0
Maikel,57.0,53.0,179.0
J. Urzúa,56.0,49.0,167.0
B. Wiles,72.0,52.0,195.0
Park Ji Soo,59.0,52.0,158.0
D. Liszka,81.0,56.0,216.0
M. Kumbulla,45.0,54.0,159.0
Cao Ziheng,76.0,57.0,206.0
Zhang Huachen,74.0,58.0,205.0
C. Okoroji,72.0,52.0,191.0
S. Wamangituka,57.0,54.0,179.0
R. Way,52.0,53.0,162.0
Y. Takeoka,59.0,57.0,170.0
P. Marie,69.0,50.0,190.0
M. Trovato,66.0,45.0,180.0
Y. Urra,22.0,44.0,89.0
A. Beestin,63.0,57.0,182.0
S. Kowalczyk,80.0,47.0,195.0
Zhang Xiuwei,75.0,55.0,190.0
Martín,45.0,50.0,149.0
S. Sessegnon,66.0,60.0,198.0
Javi Rubio,59.0,50.0,178.0
K. Lebon,72.0,52.0,200.0
C. Pring,62.0,50.0,192.0
N. Ennis,75.0,49.0,202.0
J. Krahl,32.0,51.0,110.0
H. Al Qahtani,65.0,55.0,179.0
J. Hardy,61.0,45.0,181.0
S. Córdova,57.0,38.0,159.0
Q. Roberts,46.0,47.0,153.0
Zhang Chenlong,76.0,52.0,184.0
J. Soñora,73.0,55.0,194.0
A. Al Aryani,69.0,56.0,199.0
S. Milewski,58.0,57.0,169.0
A. Ba Masoud,60.0,57.0,192.0
B. Verbong,37.0,53.0,118.0
Ryang Yong Gi,64.0,60.0,158.0
S. Micolta,65.0,54.0,188.0
C. Huanca,62.0,43.0,166.0
D. Grootenhuis,65.0,55.0,188.0
T. Righetti,54.0,50.0,169.0
Zhang Chong,58.0,59.0,172.0
G. Shaw,44.0,47.0,145.0
P. Camará,61.0,45.0,184.0
Y. Maeda,66.0,58.0,186.0
C. Galvin,79.0,52.0,211.0
G. Smith,34.0,53.0,122.0
B. Stevenson,59.0,60.0,187.0
M. Yamada,63.0,55.0,191.0
J. Schau,66.0,54.0,192.0
D. Kelly,49.0,43.0,158.0
S. Guðjohnsen,50.0,56.0,157.0
W. Ebane,49.0,51.0,167.0
Cao Yongjing,68.0,65.0,204.0
L. Kouagba,49.0,47.0,161.0
T. Abraham,64.0,60.0,195.0
Pablo Cacharrón,48.0,54.0,144.0
J. Rodríguez,64.0,56.0,184.0
J. Doherty,63.0,53.0,183.0
T. Maya,72.0,53.0,199.0
Du Changjie,81.0,56.0,196.0
J. Christensen,68.0,54.0,191.0
J. Anthony,67.0,54.0,196.0
J. Boote,65.0,57.0,185.0
T. Odusina,52.0,49.0,159.0
M. Pattier,25.0,49.0,108.0
J. Cobián,50.0,43.0,154.0
Gao Huaze,66.0,51.0,188.0
D. Sugioka,50.0,58.0,174.0
C. Månsson,46.0,43.0,108.0
D. Villa,54.0,34.0,150.0
R. Coughlan,70.0,55.0,198.0
A. Álvarez,76.0,50.0,201.0
A. Estupiñán,65.0,54.0,192.0
T. Al Kaabi,65.0,55.0,184.0
H. Rodgers,57.0,53.0,173.0
S. Shome,68.0,55.0,187.0
T. Matsumoto,63.0,51.0,171.0
M. İnan,60.0,63.0,190.0
A. Little,61.0,57.0,180.0
J. Brinch,52.0,51.0,163.0
J. Osei-Tutu,55.0,58.0,187.0
Y. Emghames,78.0,46.0,192.0
A. Björnström,57.0,49.0,174.0
M. Donohue,61.0,50.0,179.0
M. Al Mufarrij,42.0,45.0,139.0
D. Cornell,47.0,51.0,136.0
T. Baller,75.0,50.0,194.0
Park Kwang Il,52.0,47.0,164.0
Javi López,60.0,48.0,169.0
M. Heča,32.0,64.0,144.0
Y. Al Bakr,60.0,53.0,185.0
A. Sebald,35.0,48.0,115.0
A. Gomez Mancini,61.0,55.0,178.0
S. Santoro,73.0,56.0,200.0
A. Ba,64.0,53.0,189.0
Gui Hong,61.0,49.0,165.0
R. Lowry,52.0,48.0,154.0
R. Tugarev,58.0,59.0,180.0
F. Ourega,64.0,52.0,185.0
M. Salaba,26.0,40.0,87.0
F. Maddaloni,22.0,42.0,90.0
A. Barnes,57.0,55.0,175.0
R. Emanuelsson,24.0,41.0,85.0
T. Robinson,66.0,59.0,199.0
L. O'Brien,68.0,60.0,190.0
H. Evjen,77.0,49.0,205.0
E. Aiwu,69.0,56.0,192.0
M. Lund,46.0,50.0,156.0
E. Kaja,68.0,52.0,194.0
A. Curry,51.0,52.0,168.0
P. Sokołowski,65.0,56.0,187.0
A. Kaltoft,41.0,47.0,144.0
E. Linthorst,59.0,60.0,174.0
B. Lekström,52.0,47.0,138.0
L. Schneider,67.0,49.0,190.0
Han Feng,57.0,57.0,164.0
D. Ogawa,71.0,54.0,197.0
F. Quiroz,60.0,52.0,178.0
S. Steijn,78.0,48.0,192.0
L. Ketterer,38.0,57.0,132.0
A. Nilsson,75.0,47.0,200.0
L. Perrin,42.0,57.0,154.0
C. Coll,68.0,51.0,195.0
C. Camacho,61.0,53.0,181.0
S. Sørløkk,63.0,54.0,192.0
N. Awassi,50.0,49.0,166.0
R. Hirakawa,66.0,56.0,189.0
C. Cooke,47.0,55.0,165.0
P. van der Vlag,25.0,51.0,106.0
R. Borges,54.0,59.0,171.0
T. Nijhuis,34.0,58.0,109.0
L. Bogdan,58.0,46.0,159.0
L. Wildin,64.0,46.0,188.0
M. Lillebo,64.0,64.0,209.0
R. Kim,22.0,53.0,103.0
M. Irigoyemborde,65.0,59.0,196.0
T. Ominami,51.0,55.0,185.0
I. Angulo,74.0,54.0,209.0
G. Carvajal,59.0,53.0,174.0
C. Akono,54.0,62.0,181.0
S. Pabón,35.0,51.0,102.0
C. Donovan,43.0,54.0,147.0
Park Jung Ho,70.0,59.0,196.0
R. Kehr,62.0,47.0,178.0
M. Soumaré,54.0,54.0,176.0
S. Pirkl,45.0,61.0,173.0
J. Senior,74.0,47.0,185.0
S. Jiménez,60.0,55.0,187.0
T. Nagura,71.0,65.0,211.0
S. Seedorf,79.0,45.0,214.0
N. Böhmer,41.0,38.0,134.0
N. Insfrán,31.0,53.0,106.0
J. Barjonas,66.0,54.0,184.0
L. Ntumba,36.0,56.0,113.0
K. O'Connell,65.0,56.0,182.0
M. Bird,57.0,56.0,182.0
B. Tozer,56.0,53.0,166.0
M. Tokida,49.0,42.0,168.0
V. Vanbaleghem,52.0,54.0,163.0
H. Hawsawi,53.0,56.0,171.0
B. Bashir,58.0,56.0,176.0
G. Volpe,49.0,45.0,111.0
C. Manicone,61.0,58.0,188.0
M. Herrera,53.0,46.0,163.0
J. Caballero,76.0,53.0,200.0
Kim Min Jun,50.0,55.0,173.0
S. Seddon,57.0,58.0,179.0
M. Al Mutairi,57.0,53.0,181.0
M. Platt,52.0,52.0,167.0
E. Botheim,65.0,54.0,182.0
J. Quiñones,50.0,52.0,167.0
Wang Guoming,30.0,47.0,125.0
A. Kabashi,63.0,54.0,186.0
J. Chávez,70.0,45.0,192.0
C. Weale,65.0,58.0,172.0
H. Abdelli,48.0,54.0,168.0
T. Golden,58.0,53.0,180.0
F. Godoy,44.0,49.0,152.0
D. Tejeda,60.0,53.0,178.0
M. Jay,87.0,50.0,214.0
S. Woods,34.0,55.0,135.0
D. Diani,53.0,53.0,168.0
O. Atilgan,67.0,54.0,197.0
M. Al Rubaie,36.0,50.0,118.0
C. Fox,48.0,49.0,161.0
B. Vera,50.0,46.0,159.0
L. Maloney,64.0,51.0,177.0
J. Pask,53.0,41.0,153.0
A. Errico,64.0,47.0,177.0
T. Moschión,56.0,56.0,171.0
Y. Al Shammari,61.0,53.0,183.0
F. Sollacaro,37.0,55.0,134.0
O. Mbaizo,78.0,53.0,202.0
O. Patiño,30.0,55.0,101.0
J. Arboleda,57.0,52.0,175.0
Wang Yaopeng,38.0,46.0,144.0
O. Shannon,61.0,54.0,178.0
B. Tollitt,56.0,40.0,175.0
L. Kunga,90.0,52.0,219.0
E. Bird,61.0,47.0,173.0
M. Zach,36.0,45.0,119.0
E. Masciangelo,58.0,52.0,184.0
E. Mergen,57.0,58.0,179.0
Y. Soma,66.0,61.0,193.0
N. Fiedler,77.0,49.0,204.0
C. Kirk,70.0,47.0,189.0
J. Bursztyn,37.0,48.0,114.0
G. Poluzzi,39.0,46.0,108.0
J. Sullivan,33.0,53.0,128.0
J. Scott,57.0,53.0,181.0
O. Al Saleem,67.0,55.0,195.0
A. Wilson,72.0,43.0,194.0
B. Kavanagh,70.0,44.0,175.0
J. Vall,68.0,54.0,201.0
N. Araya,44.0,57.0,141.0
F. Brandhof,69.0,58.0,201.0
K. Twardek,61.0,52.0,187.0
O. Ottesen,29.0,59.0,103.0
P. O'Conor,59.0,47.0,157.0
Y. Zabaleta,68.0,57.0,199.0
K. Stanek,55.0,57.0,170.0
J. McKay,52.0,52.0,155.0
S. Dahlström,65.0,55.0,187.0
M. Isaza,53.0,60.0,173.0
J. Barrett,47.0,50.0,149.0
H. Spratt,50.0,57.0,168.0
J. De Smet,30.0,42.0,90.0
K. Sheppard,51.0,47.0,165.0
M. Juárez,80.0,58.0,205.0
R. Senhadji,45.0,50.0,151.0
F. Navarro,58.0,58.0,179.0
K. Lynch,41.0,58.0,155.0
M. Ranmark,35.0,45.0,112.0
K. Flanagan,72.0,53.0,196.0
H. Yalçıntekin,57.0,51.0,171.0
J. Rondeel,30.0,58.0,136.0
A. Al Qahtani,59.0,50.0,180.0
M. Djitté,86.0,56.0,209.0
Lu Yao,69.0,53.0,182.0
J. Montgomery,50.0,53.0,146.0
T. Bakinson,62.0,50.0,175.0
M. Lenes,21.0,48.0,101.0
J. Jiménez,54.0,54.0,165.0
Yan Peng,85.0,45.0,220.0
J. Oswell,68.0,53.0,184.0
I. Domínguez,60.0,58.0,185.0
J. Debrah,55.0,49.0,167.0
R. Bennett,53.0,51.0,156.0
L. Coordes,66.0,45.0,179.0
B. Avramovic,58.0,51.0,181.0
O. Younger,37.0,57.0,141.0
I. Jönsson,48.0,60.0,171.0
R. Musaba,57.0,51.0,176.0
J. Requena,56.0,60.0,174.0
C. Kenna,29.0,52.0,116.0
Altamirano,55.0,55.0,177.0
N. Amamoo,81.0,50.0,204.0
S. Graham,62.0,51.0,186.0
Choi Young Eun,24.0,52.0,97.0
L. Bilboe,28.0,43.0,105.0
C. Velásquez,75.0,52.0,200.0
A. Semenyo,70.0,54.0,203.0
M. Dembélé,48.0,49.0,157.0
L. White,76.0,45.0,200.0
N. Leemhuis,68.0,51.0,189.0
P. Boevink,25.0,51.0,109.0
C. Whelan,56.0,54.0,181.0
T. Dele-Bashiru,73.0,54.0,197.0
R. Rosenqvist,68.0,52.0,184.0
D. Genreau,66.0,52.0,180.0
J. Tabinas,68.0,54.0,201.0
J. Hope,58.0,49.0,165.0
R. Takahashi,73.0,54.0,201.0
P. Harant,55.0,52.0,160.0
M. Trejo,67.0,60.0,195.0
R. Henry,65.0,57.0,178.0
J. Chávez,57.0,43.0,154.0
L. Brüggemeier,37.0,43.0,125.0
M. Al Haeti,33.0,47.0,119.0
N. Djouahra,69.0,55.0,191.0
A. Hartigan,60.0,56.0,183.0
V. Glaentzlin,65.0,54.0,192.0
J. Kitolano,76.0,54.0,205.0
M. Lacroix,33.0,42.0,139.0
Y. Khormi,90.0,52.0,212.0
F. Moreno,57.0,55.0,176.0
A. Campion,47.0,46.0,138.0
Y. Andzouana,47.0,51.0,165.0
J. Mahon,50.0,44.0,145.0
O. Yaman,50.0,41.0,153.0
A. Simpson,77.0,49.0,213.0
Li Yingjian,83.0,46.0,213.0
U. Yazğılı,48.0,53.0,162.0
F. Kelleher,33.0,50.0,123.0
O. Krusnell,63.0,55.0,187.0
Y. Otto,74.0,54.0,194.0
B. Fleming,69.0,54.0,197.0
L. Bürger,63.0,52.0,177.0
Sun Le,36.0,59.0,136.0
A. Bass,60.0,62.0,183.0
Y. Dieudonne,70.0,51.0,194.0
J. Graham,73.0,48.0,191.0
A. Wolniewicz,64.0,53.0,169.0
D. Lavercombe,30.0,38.0,102.0
S. Osorio,59.0,58.0,182.0
B. Cam,72.0,52.0,195.0
R. Donelon,70.0,45.0,195.0
C. Fogacci,35.0,46.0,101.0
C. Fermina,63.0,49.0,193.0
T. Vancooten,70.0,53.0,195.0
R. El Hankouri,65.0,51.0,186.0
R. Suzuki,45.0,44.0,121.0
O. Özdemir,58.0,50.0,177.0
R. Cretaro,67.0,55.0,176.0
S. Paul,65.0,65.0,186.0
M. Halstead,26.0,52.0,129.0
R. Schofield,35.0,48.0,111.0
S. Härtel,81.0,52.0,215.0
T. Trueba,28.0,50.0,120.0
A. Obaid,76.0,49.0,200.0
A. Coote,76.0,50.0,201.0
R. Solan,67.0,56.0,187.0
Chen Anqi,58.0,59.0,157.0
D. Turnbull,65.0,51.0,178.0
A. Edqvist,72.0,48.0,201.0
S. Al Selouli,67.0,49.0,190.0
E. Ngwatala,64.0,56.0,185.0
A. Samuel,79.0,50.0,210.0
H. Gilmour,51.0,52.0,167.0
M. Ruiz Díaz,57.0,56.0,180.0
M. Młyński,59.0,51.0,178.0
Morro,31.0,57.0,116.0
D. O'Connor,62.0,46.0,177.0
M. Johnstone,22.0,46.0,100.0
N. Cadden,86.0,37.0,210.0
Y. Toure,61.0,43.0,173.0
N. Bishop,33.0,37.0,87.0
L. Martínez,53.0,55.0,177.0
L. John,46.0,58.0,167.0
Sun Jungang,59.0,39.0,167.0
M. Al Mutlaq,67.0,54.0,188.0
A. Suljic,48.0,45.0,148.0
I. Tapia,40.0,51.0,146.0
J. Eastwood,52.0,47.0,138.0
J. Brimmer,57.0,50.0,167.0
S. Grønning,71.0,52.0,197.0
D. Williams,67.0,48.0,178.0
A. Díaz,50.0,39.0,154.0
B. Chibani,60.0,59.0,180.0
L. Ranieri,59.0,57.0,174.0
A. Laurienté,58.0,54.0,174.0
J. Meneses,33.0,43.0,101.0
T. Ogiwara,65.0,49.0,187.0
K. Ellison,62.0,60.0,167.0
E. Bohinen,68.0,56.0,193.0
A. Fletcher,77.0,57.0,209.0
M. Najjar,63.0,53.0,170.0
E. Zehir,59.0,53.0,178.0
Zeng Shuai,50.0,49.0,162.0
R. Laryea,77.0,55.0,213.0
